第1页

1. 您的年龄是？
其他（请注明）____{fillblank-8310},1.2%,1
有效填写量,,85

14. 您是否愿意分享一些年例的照片或视频？（游神，街道，吃席，歌舞，家庭活动）
备注：统计分析导出不支持该题型，请导出原始数据查看

15. 请描述您刚刚上传的图片或文件
编号,文本答案,提交时间
80,"吃籺", 2025-03-30T15:39:19+08:00
79,"二月份，沙院镇", 2025-03-30T14:46:38+08:00
77,"年十二+电白区+年例", 2025-03-30T14:21:34+08:00
75,"正月十四 +电城镇庄垌村+妆春走公", 2025-03-30T14:16:10+08:00
65,"无", 2025-03-30T13:39:29+08:00
57,"电白区游神", 2025-03-30T13:20:18+08:00
52,"2025.3.2电白区年例活动", 2025-03-30T13:14:08+08:00
49,"无", 2025-03-30T13:12:37+08:00
46,"吃席的菜式", 2025-03-28T03:08:58+08:00
32,"正月18", 2025-03-27T12:08:57+08:00
17,"1", 2025-03-27T11:51:22+08:00
6,"湛江开发区平乐村正月初九晚年例前游神", 2025-03-26T15:34:55+08:00
4,"2月3日高州市新垌镇年例戏台唱戏、摆蘸、望不到头的灯笼队伍游街", 2025-03-26T15:29:53+08:00
3,"，，，", 2025-03-26T15:02:04+08:00
2,"2024年元宵节，在信宜窦州里的飘色游街", 2025-03-26T14:49:44+08:00
1,"农历二月十七，高州市南湖塘年例，有飘色巡游、无人机龙凤表演、舞狮等等活动", 2025-03-26T14:49:29+08:00
备注：更多详情请导出原始数据查看

16. 您对年例的看法？
选项,百分比%,小计
增强亲友之间的感情,81.2%,69
气氛淡化,25.9%,22
不环保,9.4%,8
铺张浪费,17.6%,15
带动经济发展,25.9%,22
其他（请注明）____{fillblank-ea04},1.2%,1
有效填写量,,85

17. 关于年例，您还有什么想聊的故事或想法吗？（选填）
编号,文本答案,提交时间
91,"疫情过后 规模没有之前的大了 还有上大学后 很少去吃年例了", 2025-04-15T16:59:59+08:00
79,"喜欢吃年例，有好吃的东西", 2025-03-30T14:46:38+08:00
75,"年轻人应该传承年例文化", 2025-03-30T14:16:10+08:00
66,"希望传承", 2025-03-30T13:40:03+08:00
65,"无", 2025-03-30T13:39:29+08:00
52,"好", 2025-03-30T13:14:08+08:00
49,"无", 2025-03-30T13:12:37+08:00
46,"以前的年例会有人为了显摆、攀比而大摆宴席，现在经济不景气了，这种攀比风气好一点了", 2025-03-28T03:08:58+08:00
40,"最喜欢去别人家蹭吃蹭喝", 2025-03-27T14:22:04+08:00
32,"越做越大", 2025-03-27T12:08:57+08:00
17,"1", 2025-03-27T11:51:22+08:00
13,"自从读书到毕业之后，好几年没吃过年例了，甚是想念。", 2025-03-27T10:59:43+08:00
9,"无", 2025-03-26T20:34:36+08:00
8,"无", 2025-03-26T17:05:54+08:00
3," ，，", 2025-03-26T15:02:04+08:00
2,"暂时🈚️", 2025-03-26T14:49:44+08:00
1,"是粤西这边的特色习俗，真的很有意思，希望以后能够带更多外地的朋友来家乡感受", 2025-03-26T14:49:29+08:00
备注：更多详情请导出原始数据查看

